Market_Rate,Friction,Rate_Velocity,CPR_US,CPR_Danish,Cohort_Coupon
0.05,0.055,0.015,0.1444,0.6087,0.015
0.05500000000000001,0.055,0.015,0.1109,0.6023,0.015
0.06000000000000001,0.055,0.015,0.0836,0.5964,0.015
0.065,0.055,0.015,0.0658,0.5899,0.015
0.07,0.055,0.015,0.0493,0.5825,0.015
0.07500000000000001,0.055,0.015,0.0378,0.5778,0.015
0.08000000000000002,0.055,0.015,0.0287,0.5729,0.015
0.02,0.055,0.02,0.4804,0.5333,0.015
0.025,0.055,0.02,0.4277,0.5241,0.015
0.030000000000000002,0.055,0.02,0.3399,0.5147,0.015
0.035,0.055,0.02,0.2587,0.5081,0.015
0.04000000000000001,0.055,0.02,0.1971,0.4991,0.015
0.045000000000000005,0.055,0.02,0.1489,0.4909,0.015
0.05,0.055,0.02,0.1143,0.484,0.015
0.05500000000000001,0.055,0.02,0.0883,0.4785,0.015
0.06000000000000001,0.055,0.02,0.0674,0.4738,0.015
0.065,0.055,0.02,0.0529,0.468,0.015
0.07,0.055,0.02,0.0397,0.4619,0.015
0.07500000000000001,0.055,0.02,0.0296,0.4584,0.015
0.08000000000000002,0.055,0.02,0.0233,0.4541,0.015
0.02,0.055,0.025,0.4804,0.5333,0.015
0.025,0.055,0.025,0.4277,0.5241,0.015
0.030000000000000002,0.055,0.025,0.3399,0.5147,0.015
0.035,0.055,0.025,0.2587,0.5081,0.015
0.04000000000000001,0.055,0.025,0.1971,0.4991,0.015
0.045000000000000005,0.055,0.025,0.1489,0.4909,0.015
0.05,0.055,0.025,0.1143,0.484,0.015
0.05500000000000001,0.055,0.025,0.0883,0.4785,0.015
0.06000000000000001,0.055,0.025,0.0674,0.4738,0.015
0.065,0.055,0.025,0.0529,0.468,0.015
0.07,0.055,0.025,0.0397,0.4619,0.015
0.07500000000000001,0.055,0.025,0.0296,0.4584,0.015
0.08000000000000002,0.055,0.025,0.0233,0.4541,0.015
0.02,0.055,0.03,0.4804,0.5333,0.015
0.025,0.055,0.03,0.4277,0.5241,0.015
0.030000000000000002,0.055,0.03,0.3399,0.5147,0.015
0.035,0.055,0.03,0.2587,0.5081,0.015
0.04000000000000001,0.055,0.03,0.1971,0.4991,0.015
0.045000000000000005,0.055,0.03,0.1489,0.4909,0.015
0.05,0.055,0.03,0.1143,0.484,0.015
0.05500000000000001,0.055,0.03,0.0883,0.4785,0.015
0.06000000000000001,0.055,0.03,0.0674,0.4738,0.015
0.065,0.055,0.03,0.0529,0.468,0.015
0.07,0.055,0.03,0.0397,0.4619,0.015
0.07500000000000001,0.055,0.03,0.0296,0.4584,0.015
0.08000000000000002,0.055,0.03,0.0233,0.4541,0.015
0.02,0.055,0.035,0.4804,0.5333,0.015
0.025,0.055,0.035,0.4277,0.5241,0.015
0.030000000000000002,0.055,0.035,0.3399,0.5147,0.015
0.035,0.055,0.035,0.2587,0.5081,0.015
0.04000000000000001,0.055,0.035,0.1971,0.4991,0.015
0.045000000000000005,0.055,0.035,0.1489,0.4909,0.015
0.05,0.055,0.035,0.1143,0.484,0.015
0.05500000000000001,0.055,0.035,0.0883,0.4785,0.015
0.06000000000000001,0.055,0.035,0.0674,0.4738,0.015
0.065,0.055,0.035,0.0529,0.468,0.015
0.07,0.055,0.035,0.0397,0.4619,0.015
0.07500000000000001,0.055,0.035,0.0296,0.4584,0.015
0.08000000000000002,0.055,0.035,0.0233,0.4541,0.015
0.02,0.06,-0.01,0.5747,0.6334,0.015
0.025,0.06,-0.01,0.5094,0.6217,0.015
0.030000000000000002,0.06,-0.01,0.4047,0.611,0.015
0.035,0.06,-0.01,0.3094,0.6036,0.015
0.04000000000000001,0.06,-0.01,0.2377,0.5951,0.015
0.045000000000000005,0.06,-0.01,0.1805,0.5853,0.015
0.05,0.06,-0.01,0.1382,0.5787,0.015
0.05500000000000001,0.06,-0.01,0.1063,0.5707,0.015
0.06000000000000001,0.06,-0.01,0.0806,0.5652,0.015
0.065,0.06,-0.01,0.0636,0.5588,0.015
0.07,0.06,-0.01,0.0474,0.5539,0.015
0.07500000000000001,0.06,-0.01,0.036,0.5492,0.015
0.08000000000000002,0.06,-0.01,0.0275,0.5436,0.015
0.02,0.06,-0.005,0.5747,0.6334,0.015
0.025,0.06,-0.005,0.5094,0.6217,0.015
0.030000000000000002,0.06,-0.005,0.4047,0.611,0.015
0.035,0.06,-0.005,0.3094,0.6036,0.015
0.04000000000000001,0.06,-0.005,0.2377,0.5951,0.015
0.045000000000000005,0.06,-0.005,0.1805,0.5853,0.015
0.05,0.06,-0.005,0.1382,0.5787,0.015
0.05500000000000001,0.06,-0.005,0.1063,0.5707,0.015
0.06000000000000001,0.06,-0.005,0.0806,0.5652,0.015
0.065,0.06,-0.005,0.0636,0.5588,0.015
0.07,0.06,-0.005,0.0474,0.5539,0.015
0.07500000000000001,0.06,-0.005,0.036,0.5492,0.015
0.08000000000000002,0.06,-0.005,0.0275,0.5436,0.015
0.02,0.06,0.0,0.5747,0.6334,0.015
0.025,0.06,0.0,0.5094,0.6217,0.015
0.030000000000000002,0.06,0.0,0.4047,0.611,0.015
0.035,0.06,0.0,0.3094,0.6036,0.015
0.04000000000000001,0.06,0.0,0.2377,0.5951,0.015
0.045000000000000005,0.06,0.0,0.1805,0.5853,0.015
0.05,0.06,0.0,0.1382,0.5787,0.015
0.05500000000000001,0.06,0.0,0.1063,0.5707,0.015
0.06000000000000001,0.06,0.0,0.0806,0.5652,0.015
0.065,0.06,0.0,0.0636,0.5588,0.015
0.07,0.06,0.0,0.0474,0.5539,0.015
0.07500000000000001,0.06,0.0,0.036,0.5492,0.015
0.08000000000000002,0.06,0.0,0.0275,0.5436,0.015
0.02,0.06,0.005,0.5747,0.6334,0.015
0.025,0.06,0.005,0.5094,0.6217,0.015
0.030000000000000002,0.06,0.005,0.4047,0.611,0.015
0.035,0.06,0.005,0.3094,0.6036,0.015
0.04000000000000001,0.06,0.005,0.2377,0.5951,0.015
0.045000000000000005,0.06,0.005,0.1805,0.5853,0.015
0.05,0.06,0.005,0.1382,0.5787,0.015
0.05500000000000001,0.06,0.005,0.1063,0.5707,0.015
0.06000000000000001,0.06,0.005,0.0806,0.5652,0.015
0.065,0.06,0.005,0.0636,0.5588,0.015
0.07,0.06,0.005,0.0474,0.5539,0.015
0.07500000000000001,0.06,0.005,0.036,0.5492,0.015
0.08000000000000002,0.06,0.005,0.0275,0.5436,0.015
0.02,0.06,0.01,0.5747,0.6334,0.015
0.025,0.06,0.01,0.5094,0.6217,0.015
0.030000000000000002,0.06,0.01,0.4047,0.611,0.015
0.035,0.06,0.01,0.3094,0.6036,0.015
0.04000000000000001,0.06,0.01,0.2377,0.5951,0.015
0.045000000000000005,0.06,0.01,0.1805,0.5853,0.015
0.05,0.06,0.01,0.1382,0.5787,0.015
0.05500000000000001,0.06,0.01,0.1063,0.5707,0.015
0.06000000000000001,0.06,0.01,0.0806,0.5652,0.015
0.065,0.06,0.01,0.0636,0.5588,0.015
0.07,0.06,0.01,0.0474,0.5539,0.015
0.07500000000000001,0.06,0.01,0.036,0.5492,0.015
0.08000000000000002,0.06,0.01,0.0275,0.5436,0.015
0.02,0.06,0.015,0.5747,0.6334,0.015
0.025,0.06,0.015,0.5094,0.6217,0.015
0.030000000000000002,0.06,0.015,0.4047,0.611,0.015
0.035,0.06,0.015,0.3094,0.6036,0.015
0.04000000000000001,0.06,0.015,0.2377,0.5951,0.015
0.045000000000000005,0.06,0.015,0.1805,0.5853,0.015
0.05,0.06,0.015,0.1382,0.5787,0.015
0.05500000000000001,0.06,0.015,0.1063,0.5707,0.015
0.06000000000000001,0.06,0.015,0.0806,0.5652,0.015
0.065,0.06,0.015,0.0636,0.5588,0.015
0.07,0.06,0.015,0.0474,0.5539,0.015
0.07500000000000001,0.06,0.015,0.036,0.5492,0.015
0.08000000000000002,0.06,0.015,0.0275,0.5436,0.015
0.02,0.06,0.02,0.4557,0.5044,0.015
0.025,0.06,0.02,0.4054,0.4947,0.015
0.030000000000000002,0.06,0.02,0.3228,0.4861,0.015
0.035,0.06,0.02,0.2466,0.4796,0.015
0.04000000000000001,0.06,0.02,0.188,0.4725,0.015
0.045000000000000005,0.06,0.02,0.1418,0.4642,0.015
0.05,0.06,0.02,0.11,0.4593,0.015
0.05500000000000001,0.06,0.02,0.0851,0.4524,0.015
0.06000000000000001,0.06,0.02,0.0648,0.448,0.015
0.065,0.06,0.02,0.051,0.4432,0.015
0.07,0.06,0.02,0.0379,0.4391,0.015
0.07500000000000001,0.06,0.02,0.0286,0.4356,0.015
0.08000000000000002,0.06,0.02,0.0224,0.4312,0.015
0.02,0.06,0.025,0.4557,0.5044,0.015
0.025,0.06,0.025,0.4054,0.4947,0.015
0.030000000000000002,0.06,0.025,0.3228,0.4861,0.015
0.035,0.06,0.025,0.2466,0.4796,0.015
0.04000000000000001,0.06,0.025,0.188,0.4725,0.015
0.045000000000000005,0.06,0.025,0.1418,0.4642,0.015
0.05,0.06,0.025,0.11,0.4593,0.015
0.05500000000000001,0.06,0.025,0.0851,0.4524,0.015
0.06000000000000001,0.06,0.025,0.0648,0.448,0.015
0.065,0.06,0.025,0.051,0.4432,0.015
0.07,0.06,0.025,0.0379,0.4391,0.015
0.07500000000000001,0.06,0.025,0.0286,0.4356,0.015
0.08000000000000002,0.06,0.025,0.0224,0.4312,0.015
0.02,0.06,0.03,0.4557,0.5044,0.015
0.025,0.06,0.03,0.4054,0.4947,0.015
0.030000000000000002,0.06,0.03,0.3228,0.4861,0.015
0.035,0.06,0.03,0.2466,0.4796,0.015
0.04000000000000001,0.06,0.03,0.188,0.4725,0.015
0.045000000000000005,0.06,0.03,0.1418,0.4642,0.015
0.05,0.06,0.03,0.11,0.4593,0.015
0.05500000000000001,0.06,0.03,0.0851,0.4524,0.015
0.06000000000000001,0.06,0.03,0.0648,0.448,0.015
0.065,0.06,0.03,0.051,0.4432,0.015
0.07,0.06,0.03,0.0379,0.4391,0.015
0.07500000000000001,0.06,0.03,0.0286,0.4356,0.015
0.08000000000000002,0.06,0.03,0.0224,0.4312,0.015
0.02,0.06,0.035,0.4557,0.5044,0.015
0.025,0.06,0.035,0.4054,0.4947,0.015
0.030000000000000002,0.06,0.035,0.3228,0.4861,0.015
0.035,0.06,0.035,0.2466,0.4796,0.015
0.04000000000000001,0.06,0.035,0.188,0.4725,0.015
0.045000000000000005,0.06,0.035,0.1418,0.4642,0.015
0.05,0.06,0.035,0.11,0.4593,0.015
0.05500000000000001,0.06,0.035,0.0851,0.4524,0.015
0.06000000000000001,0.06,0.035,0.0648,0.448,0.015
0.065,0.06,0.035,0.051,0.4432,0.015
0.07,0.06,0.035,0.0379,0.4391,0.015
0.07500000000000001,0.06,0.035,0.0286,0.4356,0.015
0.08000000000000002,0.06,0.035,0.0224,0.4312,0.015
0.02,0.065,-0.01,0.5457,0.5999,0.015
0.025,0.065,-0.01,0.4819,0.5896,0.015
0.030000000000000002,0.065,-0.01,0.3859,0.5806,0.015
0.035,0.065,-0.01,0.2943,0.5717,0.015
0.04000000000000001,0.065,-0.01,0.2262,0.5634,0.015
0.045000000000000005,0.065,-0.01,0.1723,0.556,0.015
0.05,0.065,-0.01,0.1312,0.5497,0.015
0.05500000000000001,0.065,-0.01,0.1012,0.5432,0.015
