rep,converged,fit_method,failure,gap_std,burn_std,fric_std,head_const,head_age_linear,head_age_spline_12,head_age_spline_24,head_age_spline_36,head_age_spline_60,head_age_spline_84,head_age_spline_120,head_rate_gap_bps,head_burnout_orth,head_friction,resc_rate_gap_bps,resc_burnout_orth,resc_friction
39,True,"ridge(alpha=0.0001, warm_start)",,222.84195502840777,0.11026434692430037,0.0040777349654802396,-17.493896033428076,-199.92757610030114,-1003.9220465928163,-146.19989925002926,-14.460251690849773,-0.06394475416013494,9.305338111721771e-09,3.689775246626551e-08,5.102238169259083,-2.403597754340533,-0.19071159643255714,5.059314282225213,-2.6208700684459294,-0.19098008913876283
40,True,"ridge(alpha=0.0001, warm_start)",,221.73267197323895,0.11729884122035918,0.004081938209399788,-138.85547807524642,71.03150875236574,1006.3508503343567,226.39911806917968,18.65626098904836,0.0039378541348991936,3.9599066290725795e-14,-1.5771407350437028e-14,-2.9998115835740697,15.319114505581993,1.2048135113158032,-2.9894560871417064,15.70213661539543,1.2052673397669915
41,True,"ridge(alpha=0.0001, warm_start)",,219.11379855076478,0.12145185118797382,0.004075900891107,-14.607576069137895,-169.79923904367124,-1003.693683143336,-181.0460093618244,-22.37841550038919,-0.07419682064344274,9.305338111728231e-09,3.6897752466291126e-08,2.6378961440020725,-1.5088880411684686,0.3412201306505181,2.660209598992093,-1.4937285736583545,0.34185427475083097
42,True,"ridge(alpha=0.0001, warm_start)",,216.37434719408307,0.11723708474420882,0.004085280532474638,-15.70372936236755,-180.05103324105946,-1004.4514764769822,-166.52310317354687,-20.311644199250217,-0.05465255517617014,9.305338111740171e-09,3.689775246633847e-08,3.224752855696078,-1.6488777894906066,0.0613735762776639,3.293203409911604,-1.6909947858813297,0.06134646347435315
43,True,"ridge(alpha=0.0001, warm_start)",,217.7045331594148,0.11820025440496103,0.00408967902757485,-3.599362043163344,0.044012243401229376,-0.0035655795633665233,0.003970958131604667,-0.0006048983467705463,0.0014979609016844574,1.653959712135642e-07,-2.5222663290859307e-08,0.647334299773327,-0.12461409881256605,-0.029680970304884265,0.6570358065611966,-0.1267557241741044,-0.02963595012986941
44,True,"ridge(alpha=0.0001, warm_start)",,219.99517076173225,0.11974997286607324,0.004088343191367746,-14.225201900298469,-165.82349056025674,-1003.8272321479222,-184.1066007061088,-21.45347616846511,0.06237265397897801,9.305338111726441e-09,3.689775246628403e-08,2.2942524636547494,-0.7656485197355085,0.5624331269730359,2.3043898320742513,-0.7687282380992073,0.5617635190666664
45,True,"ridge(alpha=0.0001, warm_start)",,225.6949045651411,0.11441019087878562,0.0040900160888665575,-4.4989731351287885,0.06739611671985204,-0.004790198646579228,0.005611230734784978,-0.0014352706638181615,0.003502600079744081,1.9527968451189058e-08,5.739136564283417e-09,0.6960295475296266,-0.08958175142828646,0.0014368023800268891,0.6814497133971156,-0.09413988208284557,0.0014345048059805693
46,True,"ridge(alpha=0.0001, warm_start)",,221.4565957042516,0.12450559584467048,0.004084038441668192,-13.594971081167198,-164.66755533447486,-1003.7494783757714,-185.77781825521967,-19.796829122892508,-0.02885258214079252,9.305338111698656e-09,3.689775246617386e-08,0.9264632979679883,1.339785906548717,1.3073634582277815,0.9244160789269341,1.2937946323496567,1.307183345265256
47,True,"ridge(alpha=0.0001, warm_start)",,224.63320427749107,0.11476235320937984,0.004077911875488295,-14.515459715962358,-165.8400952005237,-1002.2422552892032,-191.5694895465282,-28.750293689932366,-0.26857218457492954,9.305338111691288e-09,3.689775246614464e-08,2.693331405573989,-0.39028527692183734,0.22334643357112874,2.649376831155509,-0.40888533489909973,0.22365116816006034
48,True,"ridge(alpha=0.0001, warm_start)",,225.9557470741308,0.1252532347076394,0.004074302104903916,-15.072546511560589,-174.20078262103524,-1004.6604195591711,-171.4194197993754,-20.628342544985255,-0.07176798136046718,9.305338111712409e-09,3.6897752466228386e-08,3.4316063868989573,-0.7885812823749145,0.09510306665775584,3.3558455656760557,-0.7569659162128953,0.09531720044211461
