rep,central_trapped_b,central_share_pct,null_trapped_b,null_share_pct,marginal_b,marginal_pp
98,818.0580072151314,106.97088927863258,747.7636153743362,97.77905503192854,70.29439184079524,9.191834246704047
99,818.2684746378766,106.99841041671408,747.9156742920294,97.79893855791926,70.35280034584719,9.199471858794823
100,818.6174061576914,107.04403739504902,748.3592430871929,97.85694049428123,70.25816307049854,9.187096900767784
101,818.8365091894829,107.07268774251541,748.5428467652163,97.8809488757649,70.29366242426659,9.191738866750512
102,818.2147855821031,106.99138992918145,747.7578171267224,97.77829684155813,70.45696845538066,9.21309308762332
103,818.5860211964889,107.0399334352073,748.1975031621613,97.83579106054928,70.3885180343276,9.20414237465802
104,818.9527092043421,107.08788228717367,748.6879029488243,97.89991671034272,70.26480625551778,9.187965576830948
105,818.5817770256731,107.03937845900462,747.9597532593418,97.80470241120388,70.62202376633127,9.234676047800747
106,818.4857358022057,107.02681991793406,748.2835280419292,97.84703984463023,70.20220776027645,9.179780073303832
107,818.6691017449878,107.05079721268555,748.2375696440679,97.84103023327543,70.43153210091987,9.20976697941012
108,818.3459404176257,107.00853999588247,748.0002955239108,97.81000379821563,70.34564489371485,9.19853619766684
109,818.7142220341292,107.05669723128007,748.2090386971371,97.83729947000653,70.5051833369921,9.219397761273541
110,818.6212646865232,107.04454194394017,748.2583136629338,97.84374276236962,70.3629510235894,9.20079918157056
111,818.7022385810968,107.05513025116839,748.4688970449006,97.87127906350915,70.23334153619624,9.183851187659243
112,818.5629268680859,107.03691357497152,748.2396727361845,97.8413052377763,70.32325413190142,9.195608337195225
113,818.9440404724556,107.08674874658041,748.7016609059161,97.90171572812848,70.24237956653951,9.185033018451932
114,818.6041727013444,107.04230696202204,748.3812236052826,97.85981471046898,70.22294909606183,9.182492251553057
115,818.6528370503559,107.0486704089219,748.2443653058086,97.84191884749744,70.40847174454723,9.206751561424454
116,818.0586252774395,106.97097009768717,747.5648171241791,97.75305977802381,70.49380815326049,9.21791031966336
117,818.6293820635136,107.04560338827251,748.2891024645754,97.84776876720348,70.3402795989382,9.197834621069035
118,818.5523621421958,107.03553211043784,748.3041672862881,97.84973867320186,70.24819485590763,9.185793437235986
119,818.6003778744019,107.04181074291641,748.4104249260431,97.86363313315088,70.18995294835884,9.178177609765527
120,818.2280944033304,106.9931302170698,747.7651971769144,97.77926187157433,70.46289722641598,9.21386834549547
121,818.5839120760023,107.03965764242483,748.233013836312,97.84043450680771,70.35089823969031,9.199223135617117
122,818.4287324125814,107.01936604152648,748.3296540198684,97.85307136908875,70.09907839271307,9.16629467243773
123,818.7459498467806,107.06084602305799,748.5833382120277,97.88624361774578,70.16261163475292,9.174602405312214
124,817.8733111812974,106.94673805853425,747.3962747149048,97.73102083794596,70.47703646639252,9.215717220588289
125,818.5158091988542,107.03075237499058,748.3211399556308,97.85195805314434,70.19466924322342,9.17879432184624
126,818.2413167355437,106.99485919548297,747.6668982147975,97.76640810411521,70.57441852074624,9.22845109136776
127,818.4899134289202,107.02736619269793,748.1250421107725,97.82631590959816,70.36487131814772,9.201050283099761
128,818.7918424942058,107.06684703675519,748.5006340216814,97.87542905360684,70.29120847252432,9.191417983148355
129,819.2390857395978,107.12532945152469,748.8989495076223,97.92751357740434,70.34013623197552,9.197815874120352
130,819.0878800118938,107.10555749035096,748.8368424671481,97.91939233747834,70.25103754474571,9.186165152872618
131,817.8279457680766,106.94080598702843,747.2592518411577,97.7131034549157,70.56869392691885,9.22770253211273
132,818.7530610675211,107.06177590040136,748.5052050251755,97.87602676709945,70.24785604234557,9.185749133301911
133,818.5093537412048,107.02990824653102,748.1435839024698,97.82874047109527,70.36576983873499,9.20116777543575
134,818.8843798558437,107.07894740589603,748.6160296588514,97.89051841624136,70.26835019699229,9.188428989654668
135,818.8964575818234,107.08052671332547,748.6518807418202,97.89520637503271,70.24457684000322,9.185320338292755
136,818.2491167385185,106.99587913935889,747.7193037629941,97.77326075764867,70.52981297552446,9.22261838171022
137,818.6554672593572,107.0490143402732,748.3116509411166,97.85071725076602,70.34381631824067,9.198297089507179
138,818.377921699913,107.01272193185322,747.8361781073859,97.7885434789755,70.54174359252715,9.224178452877723
139,818.5266855106864,107.03217458312069,748.2418491195731,97.84158982598939,70.28483639111334,9.190584757131305
140,818.43407009209,107.020064007097,748.2380305322916,97.84109049993467,70.19603955979835,9.17897350716234
141,818.4063586892141,107.01644040903592,748.0068303990026,97.81085831145765,70.39952829021149,9.205582097578272
142,818.481543044279,107.02627166458282,748.2937406660698,97.84837526764004,70.1878023782092,9.177896396942785
143,818.563188226959,107.03694775077668,748.2453745704493,97.84205082094574,70.31781365650977,9.194896929830932
144,818.6343996090068,107.04625949248354,748.319038840087,97.85168330710408,70.31536076891973,9.19457618537946
145,818.7756314729462,107.06472725142831,748.5352652553387,97.87995750248021,70.24036621760752,9.1847697489481
146,818.6247878145952,107.04500263516204,748.3155084287748,97.85122166351127,70.30927938582033,9.193780971650767
147,818.4185716966477,107.01803740613688,747.975726595532,97.8067911163592,70.44284510111572,9.21124628977769
148,818.34933615163,107.0089840288031,747.907955613633,97.7979292482067,70.44138053799702,9.211054780596399
149,818.7221279662665,107.05773102666359,748.4837980666376,97.8732275506975,70.23832989962887,9.184503475966096
150,818.5966204562609,107.04131941545994,748.1125642844622,97.8246842842551,70.48405617179867,9.21663513120484
151,818.4842034214157,107.02661954077941,748.1198472937153,97.82563662500546,70.36435612770038,9.200982915773949
152,818.9004801542006,107.08105271287633,748.6864391930595,97.89972530673262,70.21404096114111,9.181327406143708
153,818.6137748744127,107.04356256123756,748.4490908322844,97.8686891638222,70.16468404212833,9.174873397415368
154,818.419287700931,107.0181310322786,747.8600131394597,97.79166019509397,70.55927456147128,9.226470837184635
155,818.3704673007811,107.01174717982202,747.7521304199676,97.7775532364919,70.61833688081356,9.234193943330126
156,818.5162465781739,107.03080956757884,748.1015571273709,97.82324496653912,70.41468945080294,9.20756460103972
157,818.0544253766636,106.9704209103228,747.6784317694131,97.76791625461664,70.3759936072505,9.202504655706164
158,818.516307621807,107.03081754976552,748.18019675911,97.8335280409244,70.33611086269696,9.19728950884111
159,818.2701253323244,106.99862626479752,747.8998498247192,97.79686931915428,70.37027550760513,9.20175694564324
160,818.3507180265352,107.00916472550944,748.0300150353779,97.8138899805432,70.3207029911573,9.195274744966241
161,818.2550410631383,106.99665381580891,747.8741014383719,97.79350240903206,70.38093962476637,9.203151406776854
162,818.5530993827825,107.03562851348076,748.2808677714165,97.84669198237602,70.27223161136601,9.188936531104744
163,818.2466042528602,106.99555060174566,747.8284594857856,97.78753417668972,70.41814476707452,9.208016425055945
164,818.3834787242711,107.01344857939176,748.1541620233613,97.8301236871859,70.22931670090975,9.18332489220586
165,818.7126418048741,107.05649059736513,748.6126428398203,97.89007554906031,70.09999896505383,9.166415048304813
166,818.4791010918785,107.02595235003844,748.2043115455425,97.83668133827827,70.27478954633602,9.18927101176017
167,819.1223314126372,107.11006242391545,749.0420953654582,97.94623161399124,70.08023604717903,9.163830809924207
168,818.381943884674,107.01324788071864,748.0908143291687,97.82184021691636,70.29112955550534,9.19140766380228
169,818.9267742806273,107.08449098505493,748.6100121662264,97.88973155695797,70.31676211440094,9.194759428096958
170,818.6788091117836,107.05206656724175,748.3632573161482,97.85746540282967,70.31555179563543,9.194601164412077
171,818.5962636937867,107.04127276449044,748.233262473569,97.8404670191091,70.36300122021771,9.200805745381345
172,819.0659288570617,107.10268711376105,748.8620751238418,97.92269180976707,70.20385373321994,9.179995303993977
173,818.2732148428802,106.99903025533202,747.7970124925795,97.78342210542004,70.4762023503007,9.215608149911972
174,818.5183726942951,107.03108758274425,748.2589897676197,97.84383117116076,70.25938292667536,9.18725641158349
175,818.5660122442831,107.03731702488908,748.3737559047993,97.85883821912667,70.19225633948383,9.17847880576241
176,817.9510445616296,106.9569026296862,747.5866886842208,97.75591974664088,70.3643558774088,9.200982883045313
177,818.7550995436657,107.0620424555894,748.3535239819951,97.85619265273027,70.4015755616706,9.205849802859134
178,818.3516683693684,107.00928899422522,748.0120566348502,97.81154170443376,70.33961173451826,9.197747289791451
179,818.747835389614,107.06109258038263,748.4241381735799,97.86542630462647,70.32369721603413,9.195666275756167
180,818.2206332623338,106.99215458345898,747.9393483860515,97.80203422945853,70.28128487628226,9.190120354000456
181,818.5346318253751,107.0332136590068,748.3340991236339,97.85365261968289,70.20053270174117,9.179561039323914
182,818.3970824095128,107.0152274242841,748.3391398591184,97.85431175626323,70.05794255039439,9.160915668020877
183,819.0139176350186,107.09588602309836,748.8020129468581,97.91483796025116,70.21190468816053,9.181048062847196
184,818.9912355535652,107.09292006909219,748.7584858964234,97.9091462767133,70.23274965714177,9.183773792378886
185,818.4930801073355,107.02778027385496,748.086102475729,97.8212240856052,70.40697763160642,9.206556188249763
186,818.4691678309689,107.0246534571194,748.231559860697,97.84024438206941,70.23760797027194,9.184409075049984
187,818.8946834378435,107.08029472273608,748.5588711644956,97.88304425803112,70.33581227334787,9.197250464704965
188,818.5362574397644,107.03342622757202,747.8866956074064,97.79514924758075,70.64956183235802,9.23827697999127
189,818.2620464446356,106.9975698534027,747.7709615193817,97.78001562844045,70.49108492525397,9.217554224962242
190,818.276994101619,106.99952443870843,747.9010181583329,97.79702209277734,70.37597594328611,9.202502345931094
191,818.7407550243114,107.06016673775758,748.3989862084405,97.8621373837256,70.34176881587086,9.198029354031988
192,818.3176692166671,107.00484319751263,747.8346615280475,97.78834516805006,70.48300768861964,9.21649802946257
193,818.5969874558745,107.04136740505807,748.3421805072227,97.85470935744655,70.25480694865178,9.186658047611516
194,818.7225988703228,107.05779260301296,748.2609880230754,97.84409246701166,70.46161084724747,9.213700136001293
195,818.1527757664369,106.98328140256437,747.696430708459,97.7702698316232,70.45634505797784,9.213011570941177
196,818.5411605812304,107.03406737208529,748.1470173832843,97.82918943986374,70.39414319794616,9.20487793222155
197,817.9961691857536,106.96280321513166,747.7102735564437,97.77207994991066,70.28589562930995,9.190723265220996
198,818.6182879468457,107.04415269954963,748.3732393152402,97.85877066885023,70.24504863160553,9.185382030699401
199,818.9541843650713,107.08807518211955,748.6863828403475,97.89971793794011,70.26780152472384,9.188357244179443
200,818.4167549763822,107.01779984818786,748.14267862057,97.82862209463661,70.27407635581221,9.189177753551249
