rep,n_loans,central_trapped_b,central_share_pct,null_trapped_b,null_share_pct,marginal_b,marginal_pp
135,103200,770.6527721064866,100.77208661267343,729.600998127133,95.4040751387853,41.051773979353584,5.3680114738881315
136,76364,767.1818815207013,100.3182260682186,728.1986346421834,95.22069930509886,38.98324687851789,5.097526763119745
137,72964,762.2926333611562,99.67889827126824,715.0042246441149,93.4953720562341,47.28840871704131,6.183526215034135
138,80323,762.1526775636498,99.6605973733039,712.6823196883047,93.19175515406721,49.470357875345144,6.4688422192366914
139,66631,768.1677383750532,100.44713866791366,726.3385738359962,94.97747406092878,41.82916453905705,5.469664606984878
140,80490,769.0538679825795,100.56301073480523,728.9547425113535,95.31956947132466,40.09912547122599,5.243441263480577
141,52938,762.8086898193301,99.7463788383698,718.646634985718,93.97166086451236,44.162054833612046,5.774717973857435
142,67664,760.428636203355,99.4351583019455,715.9750396572745,93.62231775490926,44.453596546080576,5.812840547036245
143,60124,769.3373496080242,100.60007935500148,727.8335493046766,95.17296002148909,41.50380030334759,5.427119333512394
144,95915,764.4788462787208,99.96477181309743,718.2657721654737,93.92185848593361,46.2130741132471,6.0429133271638165
145,75358,766.785364468442,100.26637671118009,723.0064208558108,94.54175512124591,43.778943612631224,5.7246215899341735
146,83933,766.8813200338807,100.27892405143675,727.1465590288811,95.08312780900603,39.73476100499954,5.195796242430717
147,76525,766.666054622714,100.25077551886285,722.11122785887,94.42469790755914,44.55482676384395,5.826077611303717
148,77071,764.1274586886204,99.91882367413541,726.0138179942829,94.93500834226325,38.113640694337505,4.983815331872165
149,76722,760.026413970243,99.38256292413104,714.6514594208187,93.44924377522011,45.374954549424274,5.933319148910925
150,83166,764.4189968705273,99.95694578565097,714.3232569931118,93.40632737412685,50.09573987741544,6.550618411524127
151,70455,769.0039320341835,100.55648101104508,722.5698155255592,94.48466374138178,46.434116508624356,6.071817269663299
152,80927,767.8530246430043,100.40598607544644,728.3507047052133,95.24058428847594,39.50231993779107,5.165401786970492
153,70360,769.9168373316376,100.67585432031476,722.7866245225607,94.51301411630423,47.13021280907685,6.1628402040105215
154,77997,769.4837580201988,100.61922400967154,729.317906265838,95.36705748492314,40.1658517543608,5.252166524748404
155,63070,766.8666376743417,100.27700415695158,718.0006664550123,93.88719273686596,48.86597121932948,6.389811420085621
156,85029,770.3897541891895,100.73769386758526,727.9571013075343,95.18911592669542,42.432652881655144,5.548577940889842
157,104165,773.781177496394,101.18116311291048,732.5549028064737,95.79033357963728,41.226274689920274,5.390829533273205
