rep,converged,fit_method,failure,gap_std,burn_std,fric_std,head_const,head_age_linear,head_age_spline_12,head_age_spline_24,head_age_spline_36,head_age_spline_60,head_age_spline_84,head_age_spline_120,head_rate_gap_bps,head_burnout_orth,head_friction,head_m_2,head_m_3,head_m_4,head_m_5,head_m_6,head_m_7,head_m_8,head_m_9,head_m_10,head_m_11,head_m_12,resc_rate_gap_bps,resc_burnout_orth,resc_friction
122,True,"ridge(alpha=0.0001, warm_start)",,218.28290303852265,0.11933569019219994,0.004062908184539456,-3.7613003948246635,0.04782121725050957,-0.004146906020113927,0.0047607834256208955,-0.0009401724536835651,0.0023333069223948136,-3.0888343396283774e-06,-5.187174853296334e-07,0.6238840480293886,-0.18295940915350867,-0.0112275453294179,0.12896611452045037,0.43923621463602064,0.24605483635067785,0.18555553755270976,0.307288512638624,0.17904108504821167,0.3558371869908423,0.4001968799047969,0.4187896283806889,0.29491921004221194,0.18949869900710045,0.6315562703893826,-0.1843330507637919,-0.011284382385299406
123,True,"ridge(alpha=0.0001, warm_start)",,221.791475667089,0.12022663274039627,0.004078265917382309,-3.2176450476477267,0.04949910751533577,-0.004396302765021575,0.005191281863901236,-0.0010816136516032199,0.0021877047510760607,-1.0238013937876037e-07,-1.8739296637131804e-07,0.6617038253506339,-0.12035080292647979,-0.019055294505703056,0.13321591604421062,0.449562625145205,0.25613234338616014,0.1524486479473825,0.25728132282983107,0.12415041550298239,0.27495752426388415,0.32626810509069953,0.35597503384061024,0.2789351284183817,0.1824661479647088,0.659244759081243,-0.12035582642158171,-0.01907963712772953
124,True,"ridge(alpha=0.0001, warm_start)",,220.2532759615378,0.11480461441456687,0.004082044124613947,-15.171328774468444,-180.9004950915259,-1005.2324745975031,-161.49501311483723,-13.986196445155986,0.027800786783272836,5.601148119500465e-07,3.43954195653595e-07,1.8006316070565553,-0.1806077109987725,0.9978872194911698,-0.8754700948703844,-0.7879734524901251,-0.6980257727649889,-0.6886674841101879,-0.6476192617057108,-0.6725570609143341,-0.670284499474151,-0.5926391720555868,-0.49632043971176476,-0.5131607295323333,-0.5781718269240852,1.806468460524537,-0.18914538755207425,0.9982372015221785
125,True,"ridge(alpha=0.0001, warm_start)",,224.3713831093711,0.12574981720759448,0.0040882502494315335,-15.528711033816858,-186.42100278982656,-1008.0240517077616,-136.4037854806103,-3.5648008124533397,0.18680227572122166,5.601148119442258e-07,3.439541956500206e-07,1.3874806687240426,1.4010977097803448,1.355459830217516,-0.9256026656923491,-0.8418255983960979,-0.7253951180869708,-0.7259694868812283,-0.6869433641397458,-0.6987725438588366,-0.7023407404336011,-0.6212983342055748,-0.5131603961924314,-0.5178767112193227,-0.5766227794747174,1.3664299322976607,1.3396145988409933,1.3538768581548246
126,True,"ridge(alpha=0.0001, warm_start)",,215.00242290259465,0.12292014727783629,0.0040882124466642055,-15.389803391828421,-176.75668384004712,-1006.6216486246412,-157.46956069361437,-12.755266670395546,0.3444157486764516,5.601148119485655e-07,3.439541956526855e-07,2.3562359676340088,-0.32411109986095693,0.5472493575251558,-0.8861664448579207,-0.7858818377173432,-0.6889967534123758,-0.6842052303154273,-0.6502937771762469,-0.679573500961519,-0.7124948101424009,-0.6406797725603267,-0.529461188437767,-0.5446756862204832,-0.6275362926846332,2.421605074843614,-0.317022176784985,0.5466153074295763
127,True,"ridge(alpha=0.0001, warm_start)",,223.13049655284885,0.12197670822925147,0.004087302242069038,-17.01454680575443,-194.75708326697998,-1005.4921460569341,-143.03270670953128,-5.709700791880943,0.6461199836114199,5.601148119440932e-07,3.4395419564993916e-07,3.4875051707312643,-0.567983278416416,0.3366656649500186,-1.0174124920907985,-0.9613282425657695,-0.8130450012952277,-0.7978963271393795,-0.782365842751999,-0.7981512507717486,-0.865286638396173,-0.7987889492262948,-0.6750166427938726,-0.681551322490894,-0.759503652249275,3.453693707235527,-0.5598574377488119,0.3363504852918576
128,True,"ridge(alpha=0.0001, warm_start)",,227.8913457156777,0.12305741093049122,0.004085715913511091,-3.970442601955454,0.052691027726930316,-0.003929145836096767,0.0038031826199759087,-6.746589367397506e-05,0.002300366382187901,8.86186957439034e-06,1.0847003849967789e-05,0.6745521357956203,-0.25186848496482506,0.05903090812164479,0.08937167950811838,0.4458974229229446,0.325869874198278,0.2921719259260316,0.44723203117974375,0.337703841353376,0.44708524197571703,0.49831834096742983,0.5330354648726874,0.3731681394525054,0.27074898230252775,0.65405697250675,-0.24608484419144808,0.05899854257320546
129,True,"ridge(alpha=0.0001, warm_start)",,218.5260704154544,0.11733624431681186,0.004070712191900651,-16.910058516685012,-198.52907594696663,-1004.7781059403334,-142.8529904237314,-6.154214467534255,0.37685186796427916,5.601148119497138e-07,3.4395419565339066e-07,3.4639125618985664,-0.07494598192169973,0.509452658570209,-0.9934085566508555,-0.9487920905600397,-0.8247420143843702,-0.805888651133126,-0.7850863220769853,-0.8072768587470074,-0.8502635209447627,-0.7769498712309567,-0.6661335459606754,-0.6719299410241105,-0.7395830888853017,3.5026081635253035,-0.07679536019469925,0.5110500325541586
130,True,"ridge(alpha=0.0001, warm_start)",,220.84305375855055,0.12306372907184902,0.004081672565331267,-3.8689136372850124,0.05184749751695991,-0.004278106147888977,0.005135660170216974,-0.001379260868029828,0.0030380711612778767,-2.1892903121144123e-07,-1.7861410273989409e-06,0.6585227587286734,-0.14551939701474453,-0.019670182190753272,0.11904042868213828,0.4138969535834718,0.21307895522963288,0.1331718676445846,0.2557040156244179,0.13332372351976507,0.32065042007165423,0.36943297739269576,0.3923904177248827,0.27913873664935207,0.1707078730162384,0.6588930643478949,-0.14217054444241534,-0.019678872203684406
131,True,"ridge(alpha=0.0001, warm_start)",,221.19160256619068,0.11540589391413575,0.00408956727905512,-3.806787937419747,0.04962256016388962,-0.004106924581427103,0.004763089796061116,-0.0011854952878043393,0.0029550797637742966,-0.004154305244817869,-0.01016509539212055,0.6278663823335138,-0.12375658391187391,-0.01479104945331666,0.11429731918323935,0.4204422701243531,0.2200029644770299,0.1540952987237051,0.28052448008815145,0.15613363088671495,0.3470065983443742,0.3915431161305293,0.39473767706469365,0.2837332331896313,0.17265454685208703,0.6272295147865862,-0.12893152947129732,-0.014769017906346927
