Market_Rate,Friction,Rate_Velocity,CPR_US,CPR_Danish
0.035,0.06,0.02,0.3869,0.4444
0.04000000000000001,0.06,0.02,0.3125,0.4241
0.045000000000000005,0.06,0.02,0.2509,0.4118
0.05,0.06,0.02,0.1978,0.4054
0.05500000000000001,0.06,0.02,0.1538,0.4018
0.06000000000000001,0.06,0.02,0.1193,0.3997
0.065,0.06,0.02,0.0898,0.3971
0.07,0.06,0.02,0.0669,0.3958
0.07500000000000001,0.06,0.02,0.0519,0.3941
0.08000000000000002,0.06,0.02,0.0402,0.3922
0.02,0.06,0.025,0.5773,0.5775
0.025,0.06,0.025,0.522,0.5242
0.030000000000000002,0.06,0.025,0.4613,0.4765
0.035,0.06,0.025,0.3869,0.4444
0.04000000000000001,0.06,0.025,0.3125,0.4241
0.045000000000000005,0.06,0.025,0.2509,0.4118
0.05,0.06,0.025,0.1978,0.4054
0.05500000000000001,0.06,0.025,0.1538,0.4018
0.06000000000000001,0.06,0.025,0.1193,0.3997
0.065,0.06,0.025,0.0898,0.3971
0.07,0.06,0.025,0.0669,0.3958
0.07500000000000001,0.06,0.025,0.0519,0.3941
0.08000000000000002,0.06,0.025,0.0402,0.3922
0.02,0.06,0.03,0.5773,0.5775
0.025,0.06,0.03,0.522,0.5242
0.030000000000000002,0.06,0.03,0.4613,0.4765
0.035,0.06,0.03,0.3869,0.4444
0.04000000000000001,0.06,0.03,0.3125,0.4241
0.045000000000000005,0.06,0.03,0.2509,0.4118
0.05,0.06,0.03,0.1978,0.4054
0.05500000000000001,0.06,0.03,0.1538,0.4018
0.06000000000000001,0.06,0.03,0.1193,0.3997
0.065,0.06,0.03,0.0898,0.3971
0.07,0.06,0.03,0.0669,0.3958
0.07500000000000001,0.06,0.03,0.0519,0.3941
0.08000000000000002,0.06,0.03,0.0402,0.3922
0.02,0.06,0.035,0.5773,0.5775
0.025,0.06,0.035,0.522,0.5242
0.030000000000000002,0.06,0.035,0.4613,0.4765
0.035,0.06,0.035,0.3869,0.4444
0.04000000000000001,0.06,0.035,0.3125,0.4241
0.045000000000000005,0.06,0.035,0.2509,0.4118
0.05,0.06,0.035,0.1978,0.4054
0.05500000000000001,0.06,0.035,0.1538,0.4018
0.06000000000000001,0.06,0.035,0.1193,0.3997
0.065,0.06,0.035,0.0898,0.3971
0.07,0.06,0.035,0.0669,0.3958
0.07500000000000001,0.06,0.035,0.0519,0.3941
0.08000000000000002,0.06,0.035,0.0402,0.3922
0.02,0.065,-0.01,0.6995,0.6996
0.025,0.065,-0.01,0.6323,0.6339
0.030000000000000002,0.065,-0.01,0.5512,0.5676
0.035,0.065,-0.01,0.4633,0.5305
0.04000000000000001,0.065,-0.01,0.3761,0.5054
0.045000000000000005,0.065,-0.01,0.3014,0.4899
0.05,0.065,-0.01,0.2394,0.4833
0.05500000000000001,0.065,-0.01,0.186,0.4794
0.06000000000000001,0.065,-0.01,0.1423,0.4766
0.065,0.065,-0.01,0.1079,0.4746
0.07,0.065,-0.01,0.08,0.4724
0.07500000000000001,0.065,-0.01,0.0628,0.4701
0.08000000000000002,0.065,-0.01,0.0478,0.4683
0.02,0.065,-0.005,0.6995,0.6996
0.025,0.065,-0.005,0.6323,0.6339
0.030000000000000002,0.065,-0.005,0.5512,0.5676
0.035,0.065,-0.005,0.4633,0.5305
0.04000000000000001,0.065,-0.005,0.3761,0.5054
0.045000000000000005,0.065,-0.005,0.3014,0.4899
0.05,0.065,-0.005,0.2394,0.4833
0.05500000000000001,0.065,-0.005,0.186,0.4794
0.06000000000000001,0.065,-0.005,0.1423,0.4766
0.065,0.065,-0.005,0.1079,0.4746
0.07,0.065,-0.005,0.08,0.4724
0.07500000000000001,0.065,-0.005,0.0628,0.4701
0.08000000000000002,0.065,-0.005,0.0478,0.4683
0.02,0.065,0.0,0.6995,0.6996
0.025,0.065,0.0,0.6323,0.6339
0.030000000000000002,0.065,0.0,0.5512,0.5676
0.035,0.065,0.0,0.4633,0.5305
0.04000000000000001,0.065,0.0,0.3761,0.5054
0.045000000000000005,0.065,0.0,0.3014,0.4899
0.05,0.065,0.0,0.2394,0.4833
0.05500000000000001,0.065,0.0,0.186,0.4794
0.06000000000000001,0.065,0.0,0.1423,0.4766
0.065,0.065,0.0,0.1079,0.4746
0.07,0.065,0.0,0.08,0.4724
0.07500000000000001,0.065,0.0,0.0628,0.4701
0.08000000000000002,0.065,0.0,0.0478,0.4683
0.02,0.065,0.005,0.6995,0.6996
0.025,0.065,0.005,0.6323,0.6339
0.030000000000000002,0.065,0.005,0.5512,0.5676
0.035,0.065,0.005,0.4633,0.5305
0.04000000000000001,0.065,0.005,0.3761,0.5054
0.045000000000000005,0.065,0.005,0.3014,0.4899
0.05,0.065,0.005,0.2394,0.4833
0.05500000000000001,0.065,0.005,0.186,0.4794
0.06000000000000001,0.065,0.005,0.1423,0.4766
0.065,0.065,0.005,0.1079,0.4746
0.07,0.065,0.005,0.08,0.4724
0.07500000000000001,0.065,0.005,0.0628,0.4701
0.08000000000000002,0.065,0.005,0.0478,0.4683
0.02,0.065,0.01,0.6995,0.6996
0.025,0.065,0.01,0.6323,0.6339
0.030000000000000002,0.065,0.01,0.5512,0.5676
0.035,0.065,0.01,0.4633,0.5305
0.04000000000000001,0.065,0.01,0.3761,0.5054
0.045000000000000005,0.065,0.01,0.3014,0.4899
0.05,0.065,0.01,0.2394,0.4833
0.05500000000000001,0.065,0.01,0.186,0.4794
0.06000000000000001,0.065,0.01,0.1423,0.4766
0.065,0.065,0.01,0.1079,0.4746
0.07,0.065,0.01,0.08,0.4724
0.07500000000000001,0.065,0.01,0.0628,0.4701
0.08000000000000002,0.065,0.01,0.0478,0.4683
0.02,0.065,0.015,0.6995,0.6996
0.025,0.065,0.015,0.6323,0.6339
0.030000000000000002,0.065,0.015,0.5512,0.5676
0.035,0.065,0.015,0.4633,0.5305
0.04000000000000001,0.065,0.015,0.3761,0.5054
0.045000000000000005,0.065,0.015,0.3014,0.4899
0.05,0.065,0.015,0.2394,0.4833
0.05500000000000001,0.065,0.015,0.186,0.4794
0.06000000000000001,0.065,0.015,0.1423,0.4766
0.065,0.065,0.015,0.1079,0.4746
0.07,0.065,0.015,0.08,0.4724
0.07500000000000001,0.065,0.015,0.0628,0.4701
