Base_Pct,Search_Cap_bps,Sentiment_Cap_bps,Friction_Min_Pct,Friction_Mean_Pct,Friction_Max_Pct,Trapped_US_B,Trapped_DK_B,Gap_B,Vs_Empirical_B,Share_Explained_Pct,CPR_R2,CPR_RMSE,CPR_R2_Smooth,CPR_RMSE_Smooth
7.000000000000001,200.0,300.0,8.231826380695836,9.090221483702328,10.262309881147257,102.7352195032782,-828.0923678553107,930.827587358589,-662.013033719422,13.433861283153655,-6.386201237339392,7.701351290265316,-14.32682364966536,7.107374262177002
6.0,400.0,300.0,7.599761024617864,9.162905653971825,11.24461976229451,102.5678967352095,-833.4716522784798,936.0395490136893,-662.1803564874907,13.41198182578143,-6.455119958779101,7.7371975187396425,-14.513985090388651,7.15063795706362
6.0,400.0,225.0,7.599761024617864,9.162905653971825,11.24461976229451,102.5678967352095,-833.4716522784798,936.0395490136893,-662.1803564874907,13.41198182578143,-6.455119958779101,7.7371975187396425,-14.513985090388651,7.15063795706362
8.0,0.0,225.0,8.0,9.017537313432836,10.010000000000002,101.23512074053225,-824.3737145798237,925.608835320356,-663.513132482168,13.237705390489051,-6.381039548280762,7.69865985749781,-14.28560514529968,7.0978108793583194
8.0,0.0,300.0,8.0,9.017537313432836,10.010000000000002,101.23512074053225,-824.3737145798237,925.608835320356,-663.513132482168,13.237705390489051,-6.381039548280762,7.69865985749781,-14.28560514529968,7.0978108793583194
7.000000000000001,200.0,150.0,8.231826380695836,9.04611700609039,10.262309881147257,101.17436325001754,-829.1244869809423,930.2988502309598,-663.5738899726827,13.229760620395275,-6.443036171859481,7.730924476648351,-14.464458654200284,7.139215079390726
6.0,400.0,150.0,7.599761024617864,9.118801176359883,11.24461976229451,101.05208318778483,-834.5094497334958,935.5615329212806,-663.6961700349154,13.213771036670513,-6.510701368023045,7.7659861749041745,-14.64939475028563,7.181776372093102
8.0,0.0,150.0,8.0,8.973432835820896,9.5,99.63359754727281,-825.3379341113255,924.9715316585982,-665.1146556754275,13.028287037912174,-6.438608240836439,7.728624535314953,-14.424090153670164,7.129890868975615
7.000000000000001,400.0,0.0,7.434761024617866,9.14536834053899,11.0,97.02189746895469,-834.9492294034567,931.9711268724113,-667.7263557537456,12.68677595013757,-6.707133707150863,7.866885198942096,-15.123923816265425,7.289848013433645
8.0,200.0,0.0,8.217380512308932,9.072684170269493,10.0,96.94733996686533,-829.4289043953142,926.3762443621796,-667.8009132558349,12.677026663130352,-6.631639514271034,7.82826087274913,-14.920607662238053,7.243741188592679
9.0,0.0,0.0,9.0,9.0,9.0,95.52476033150218,-825.4401226673111,920.9648829988133,-669.223492891198,12.491007325476646,-6.615190387075056,7.819819860849494,-14.854816587283114,7.2287585037818465
6.0,400.0,75.0,7.184761024617864,8.796636997255407,10.749999999999998,75.30164878721575,-854.3772305952674,929.6788793824832,-689.4466044354845,9.846593106932847,-7.189142583061926,8.109154637332638,-16.235934887432467,7.537034920019069
7.000000000000001,200.0,75.0,7.967380512308933,8.72395282698591,9.75,75.13634677371522,-849.2490738388375,924.3854206125527,-689.611906448985,9.824977887440166,-7.10882284849523,8.069289041913146,-16.016986184426365,7.48901030464366
8.0,0.0,75.0,8.0,8.651268656716418,8.75,73.39824569595895,-845.3523353048845,918.7505810008435,-691.3500075267413,9.597700339510922,-7.0986850314491186,8.064243268803446,-15.963244046861856,7.477175256723848
6.0,300.0,225.0,7.491070768463398,8.626563568837074,10.253464821720884,65.50774867591724,-863.2445160401174,928.7522647160347,-699.240504546783,8.565923282578707,-7.232511290111477,8.130598833645955,-16.312749754534916,7.55381128633266
6.0,300.0,300.0,7.491070768463398,8.626563568837074,10.253464821720884,65.50774867591724,-863.2445160401174,928.7522647160347,-699.240504546783,8.565923282578707,-7.232511290111477,8.130598833645955,-16.312749754534916,7.55381128633266
7.000000000000001,100.0,225.0,7.828027530795821,8.553879398567585,9.482295820324754,64.51133794311525,-858.8571386921011,923.3684766352163,-700.236915279585,8.435630636782781,-7.191709796922247,8.11042560695319,-16.18438684283108,7.52575585859242
7.000000000000001,100.0,300.0,7.828027530795821,8.553879398567585,9.482295820324754,64.51133794311525,-858.8571386921011,923.3684766352163,-700.236915279585,8.435630636782781,-7.191709796922247,8.11042560695319,-16.18438684283108,7.52575585859242
6.0,300.0,150.0,7.491070768463398,8.582459091225136,10.253464821720884,63.80228568544177,-864.2858168403123,928.0881025257542,-700.9459675372584,8.342913555745262,-7.297996326464194,8.162871971860199,-16.47128522958449,7.588318167924634
7.000000000000001,100.0,150.0,7.828027530795821,8.509774920955644,9.271154940573629,62.808513033802626,-859.8959674441973,922.7044804779998,-701.9397401888975,8.212965870680105,-7.256761048519589,8.142564810438921,-16.34086696780164,7.55994277788274
7.000000000000001,300.0,0.0,7.326070768463399,8.609026255404242,10.0,59.560234311320414,-864.6555079438227,924.2157422551431,-705.1880189113798,7.788214495466921,-7.507947112530877,8.265492890274855,-16.975853896856407,7.6971131314186385
8.0,100.0,0.0,8.108690256154466,8.536342085134748,9.0,58.68168573720067,-859.9997043428481,918.6813900800487,-706.0665674854995,7.673333739555746,-7.454758706600627,8.239616046060283,-16.81951225155961,7.663567929044297
6.0,300.0,75.0,7.076070768463399,8.260294912120658,9.75,36.420859833415406,-883.9774409817943,920.3983008152097,-728.3273933892848,4.762463945479505,-8.046341773347898,8.52300732356582,-18.21843398723165,7.958699427025174
7.000000000000001,100.0,75.0,7.828027530795821,8.187610741851167,8.75,35.34352825967551,-879.8074197913467,915.1509480510222,-729.4047249630247,4.6215899298541085,-7.991423875923392,8.497097503155889,-18.056990565742375,7.9252006140808104
5.0,400.0,300.0,6.599761024617864,8.162905653971825,10.244619762294512,25.774908006263836,-897.428849614708,923.2037576209718,-738.9733452164364,3.3703781470106864,-8.207898249579147,8.598775723166419,-18.607256034773723,8.038805389601238
5.0,400.0,225.0,6.599761024617864,8.162905653971825,10.244619762294512,25.774908006263836,-897.428849614708,923.2037576209718,-738.9733452164364,3.3703781470106864,-8.207898249579147,8.598775723166419,-18.607256034773723,8.038805389601238
6.0,200.0,300.0,7.231826380695836,8.090221483702328,9.262309881147255,25.01924949903635,-892.9971568920381,918.0164063910745,-739.7290037236638,3.2715667402447224,-8.127470654580176,8.561139791722958,-18.384966768618565,7.993107160887325
