period,market_rate_pct,friction,total_balance,weighted_prepay_b,weighted_sched_b,weighted_settled_b,simulated_rolloff_b,hazard_cpr_pct
2024-02-29,6.757777777777778,0.08654894175532624,1937697395817.3828,5.094014547197297,4.779863446612565,5.094014547197297,-9.873877993809861,2.543578741420109
2024-03-31,6.83875,0.0845894748834425,1928516830948.3342,6.543774988049632,4.772327567662582,6.543774988049632,-11.316102555712213,3.2877302441387597
2024-04-30,6.944999999999999,0.08475888741867722,1920538192153.2917,5.079080276574385,4.7869572928042095,5.079080276574385,-9.866037569378596,2.5558121422595788
2024-05-31,7.074,0.08755014294569353,1913102884093.8574,4.367479463606548,4.7484489314708975,4.367479463606548,-9.115928395077447,2.2258056028593125
2024-06-30,6.938750000000001,0.0867689295304314,1905175368104.3167,4.947240541901356,4.7326641422576605,4.947240541901356,-9.679904684159018,2.5413939531093694
2024-07-31,6.847500000000001,0.08663309705477004,1897765525797.3713,4.297795929579919,4.718393669087745,4.297795929579919,-9.016189598667664,2.2247335703699447
2024-08-31,6.516666666666667,0.08529290000486482,1889400320198.2495,5.4346205644319046,4.702713497616432,5.4346205644319046,-10.137334062048337,2.8357032562504556
2024-09-30,6.21375,0.08352529542622887,1880571477600.8667,5.975522427024529,4.688235402144818,5.975522427024529,-10.663757829169347,3.1421480389493417
2024-10-31,6.364,0.08292614223148888,1872057552571.1135,5.581827791702782,4.676883101226465,5.581827791702782,-10.258710892929248,2.956002966528288
2024-11-30,6.7871428571428565,0.08231826380695836,1864671162552.007,4.2100307806054635,4.663552285863576,4.2100307806054635,-8.873583066469038,2.2463661055208783
2024-12-31,6.709999999999999,0.08312507240750681,1857664142162.3696,3.759933392324816,4.678078335153309,3.759933392324816,-8.438011727478125,2.0093352335024193
2025-01-31,6.948,0.08526840616992166,1851436959924.173,2.792047657153308,4.641558721704242,2.792047657153308,-7.433606378857551,1.5108762330941223
2025-02-28,6.86625,0.08833354274192129,1844928156593.7988,3.112463319390622,4.633360744544875,3.112463319390622,-7.745824063935498,1.6951575939955528
2025-03-31,6.66375,0.09112906551740914,1837332670910.9255,4.3871092228868305,4.624900542860011,4.3871092228868305,-9.012009765746841,2.404994733877995
2025-04-30,6.716666666666667,0.09055710812062097,1830459244939.532,3.516335550454322,4.612609650311706,3.516335550454322,-8.128945200766028,1.9418819438803956
2025-05-31,6.807777777777776,0.08874566823543324,1823861372786.3286,3.1732947106393596,4.598566181130641,3.1732947106393596,-7.771860891769999,1.7660803867462733
2025-06-30,6.831428571428572,0.08480152083100213,1816928618164.2217,3.546294691743418,4.582430577384685,3.546294691743418,-8.128725269128106,1.9899750245462706
